_id,Pipeline Status,Application Number,Date Received,Description,Address,Ward,Proposed Residential Gross Floor Area,Proposed Non-Residential Gross Floor Area,Proposed Gross Floor Area,Proposed Residential Units,Application Information Centre Link
1151,Built,21 153866 ESC 21 SA,2021-05-12,"City-initiated development on a City-owned community housing property to add a Modular Housing six-storey building addition comprised of 57 bachelor units. The building will include common rooms, a dining room, program space and administrative offices. T",39 DUNDALK DR,21,3598.25,0,3598.25,57,http://app.toronto.ca/AIC/index.do?folderRsn=twYFbk1y2dRu3OsVSqEsbw%3D%3D
1152,Active,19 137322 STE 12 OZ,2019-04-08,Zoning By-Law Amendment to permit the development of a 28-storey residential building.,65 RAGLAN AVE,12,23466,145,23611,320,http://app.toronto.ca/AIC/index.do?folderRsn=1F9iE8HVhtIzLhTSv9TSIg%3D%3D
1153,Active,21 213425 STE 04 SA,2021-09-16,"Site Plan Approval for a 6-storey non-residential building for the purposes of a self-storage facility.  The proposed non-residential gross floor area is 14,742.55 square metres.",3470 DUNDAS ST W,4,0,14239.3,14239.3,0,http://app.toronto.ca/AIC/index.do?folderRsn=Ac3p04A4wmgUXezA98AQzQ%3D%3D
1154,Under Review,20 232879 STE 14 OZ,2020-12-22,"Proposal for a  residential apartment building with a height of 24-storeys, inclusive of a 4 storey podium  with ground related housing on Gowan Avenue.  The development proposes 424 dwelling units, 187 vehicle parking spaces and 425 bicycle parking spac",5 COSBURN AVE,14,27298,0,27298,424,http://app.toronto.ca/AIC/index.do?folderRsn=j4rj1Z9ZTeGb3%2FQIqRl6Fw%3D%3D
1155,Under Review,24 208060 NNY 15 OZ,2024-09-04,"Official Plan Amendment and Zoning By-law Amendment application to permit the redevelopment of the subject site with a 39-storey rental residential building (134.5 metres, including the mechanical penthouse). The proposed building will have a total gross",17 GLENAVY AVE,15,30410,0,30410,398,http://app.toronto.ca/AIC/index.do?folderRsn=Xz03dao28ooCEoEVh9GgCA%3D%3D
1156,Active,17 223999 STE 22 OZ,2017-08-28,"To construct a 27-storey rental residential tower containing 233 rental units and 135 below grade parking spaces and a total residential gross floor area of approximately 18,102square metres, and a non-residential gross floor area of 150 square metres.",265 BALLIOL ST,12,17952,150.5,18102.5,233,http://app.toronto.ca/AIC/index.do?folderRsn=%2BDywPD%2B9ztN6QeAby8rNlg%3D%3D
1157,Active,21 153650 STE 13 SA,2021-05-12,"Site Plan Approval for 33 and 24-storey mixed-use buildings having a residential gross floor area of 60,745 square metres and a non-residential gross floor area of 15,031 square metres.",261 QUEEN ST E,13,60745,15031,75776,795,http://app.toronto.ca/AIC/index.do?folderRsn=9F1HGuAIjzw%2BNnsuVnk2wQ%3D%3D
1158,Active,19 240160 STE 13 OZ,2019-10-23,"LPAT approved Official Plan/Zoning By-law Amendment application to facilitate the development of the site for a 40 storey plus partial 41st storey (129.2 m, mechanical penthouse inclusive) mixed-use building containing 220 square metres of non-residentia",20 MAITLAND ST,13,32681,219,32900,502,http://app.toronto.ca/AIC/index.do?folderRsn=ZZtXDHQufcELqJRhMXcykw%3D%3D
1159,Under Review,20 213392 NNY 06 OZ,2020-10-30,"Zoning By Law Amendment Application to permit redevelopment of existing 4 storey, 120 unit rental apartment building with a new building containing a 14 storey (50.15m) base building along Steeles Avenue West, with 39 (129.65m) and 33 (111.65m) storey to",1875 STEELES AVE W,6,79796,0,79796,960,http://app.toronto.ca/AIC/index.do?folderRsn=7pZyCRapH1eh1QZZfHfumw%3D%3D
1160,Under Review,22 141536 STE 10 OZ,2022-05-03,"Official Plan and Zoning By-law Amendment application to permit development above the Union Station rail corridor between Blue Jays Way and Bathurst Street. The revised proposal includes 9 mixed-use towers ranging in height from 36 to 72-storeys, a new C",595 FRONT ST W,10,494133,37117,531250,7986,http://app.toronto.ca/AIC/index.do?folderRsn=DrdfJIhXMtB%2F0yd9Gl8FYA%3D%3D
1161,Built,17 196947 STE 19 OZ,2017-07-12,"Zoning By-law Amendment to facilitate redevelopment of the site with a new  7-storey mid-rise mixed-use building.  The base of the building includes about 1,700 m2 of retail space and a residential lobby along College Street. The proposal includes 103 un",877 COLLEGE ST,9,10720,1658,12378,112,http://app.toronto.ca/AIC/index.do?folderRsn=OrmG91lbkr7BS1PyKtFXkw%3D%3D
1162,Active,18 270572 WET 02 OZ,2018-12-20,To amend the former City of Etobicoke Zoning Code and City of Toronto Zoning By-law No. 569-3013 to permit a 29-storey apartment building with 306 rental units. The existing 20-storey building would remain.  The proposed apartment building would have a,1 RICHVIEW RD,2,22450,0,22450,306,http://app.toronto.ca/AIC/index.do?folderRsn=xtpKMvRiqdli2C8cRFMoAg%3D%3D
1163,Active,19 130611 WET 05 SA,2019-03-25,Site Plan Control application to permit the construction of a gas station with a retail kiosk. The application proposes a partial demolition of the existing 2-storey building and construction of the retail kiosk with a gross floor area of 232 m2. The gas,1683 JANE ST,5,0,0,0,0,http://app.toronto.ca/AIC/index.do?folderRsn=xyh4cSE4oFYk4DQ%2Fj%2FPChg%3D%3D
1164,Under Review,23 138584 NNY 08 SA,2023-04-27,"Site plan control application to permit a 2-storey building, comprised of 1493 square metres of non-residential gross floor area, for a financial institution use.",3302 DUFFERIN ST,8,0,1493,1493,0,http://app.toronto.ca/AIC/index.do?folderRsn=w1JQJUCTY9IEj4F%2FSwqBhQ%3D%3D
1165,Active,15 258686 ESC 37 OZ,2015-11-30,"Official Plan Amendment application to add a Site and Area Specific Policy (""SASP"") to the property at 1966-2050 Eglinton Avenue East (RioCan lands) to permit a mixed-use development with new streets and parkland.",1966 EGLINTON AVE E,21,390168,6629,396797,4915,http://app.toronto.ca/AIC/index.do?folderRsn=liHqf%2FwtpEYTGM9PdMFQPA%3D%3D
1166,Under Review,24 211388 ESC 24 SA,2024-09-11,"A proposal to renovate the existing 15-storey rental apartment building, to allow the addition of  20 new residential units, on the ground and basement level, increasing the total number of residential units to 270. An addition of 179.21 square metres of",399 MARKHAM RD,24,1023.67,0,1023.67,20,http://app.toronto.ca/AIC/index.do?folderRsn=tBu7855%2BkpJ3cYvSQPnEkw%3D%3D
1167,Active,20 105668 NNY 06 SA,2020-01-17,"1) January 20. 2020: To amend the existing approved Site Plan 09 108730 NNY SA and Site Plan Agreement (dated Jan. 17, 2011) to add school ancillary play areas, relocate school ancillary play areas, and relocate the school ancillary parking area for St.",60 MANIZA RD,6,0,0,0,0,http://app.toronto.ca/AIC/index.do?folderRsn=WEz9KQx7f2f%2BP%2Bpk5ygJEw%3D%3D
1168,Active,20 177426 NNY 18 OZ,2020-08-07,"Zoning By Law and Official Plan Amendment application for the proposal to permit a 8 storey mixed use building with 58 residential units and 48 underground parking spaces. The total gross floor area would be 4,583 square metres,",105 SHEPPARD AVE E,18,4211,114,4325,58,http://app.toronto.ca/AIC/index.do?folderRsn=%2FLyXvrdlhecCeTaZRi%2BSRQ%3D%3D
1169,Built,12 210516 STE 28 SA,2012-07-12,"Site Plan approval application for the Bay-Adelaide Centre (NORTH TOWER) with a total building height of 32 storeys,  a 9 storey podium, 900m2 retail at grade, PATH connection, and 4 levels of underground parking with 227 parking spaces.",40 TEMPERANCE ST,13,0,73864,73864,0,http://app.toronto.ca/AIC/index.do?folderRsn=Mh%2B9ORCIYk0AbhcRuRc%2F6g%3D%3D
1170,Active,20 145142 ESC 25 SA,2020-05-13,To construct a one-storey industrial building.,610 CORONATION DR,25,0,6685.1,6685.1,0,http://app.toronto.ca/AIC/index.do?folderRsn=F7w4hPKph0KxkFafIecDkg%3D%3D
1171,Active,19 114174 NNY 06 OZ,2019-02-11,"Zoning By-law #228-2020 & OPA 309 & SASP 387City-initiated (Housing Now) zoning by-law amendment proposing a transit-oriented, mixed use development at 50 Wilson Heights Blvd. The proposed redevelopment of the commuter parking facility is comprised of th",50 WILSON HEIGHTS BLVD,6,95262,6363,101625,1464,http://app.toronto.ca/AIC/index.do?folderRsn=AflcgO%2BAcIIk8iePDe5o1A%3D%3D
1172,Under Review,22 168468 ESC 24 OZ,2022-06-27,"Proposed redevelopment of the subject site with a 20-storey mixed use building consisting of 320 residential units and 415 square metres of retail space. The proposal will have a total gross floor area of approximately 21,211.8 square metres.",4180 KINGSTON RD,24,20796.8,415,21211.8,320,http://app.toronto.ca/AIC/index.do?folderRsn=Py%2FuSJrmjwqiA0bOAcA%2FhA%3D%3D
1173,Under Review,24 214095 ESC 20 OZ,2024-09-17,"Rezoning application to permit the redevelopment of the subject lands with an 11 storey  (37 metre) mixed use development comprised of a toal of 14, 354 square metres of Gross Floor Area, including 13,763 square metres of residential GFA and 590 square m",1212-1238 KINGSTON RD,20,13763,590,14353,216,http://app.toronto.ca/AIC/index.do?folderRsn=TemXgwMr0JSFHHi3pVlhzw%3D%3D
1174,Active,21 203298 STE 04 SA,2021-08-24,"Site Plan Approval to convert the existing 1-storey place of worship into a 5-storey mixed-use building having a residential gross floor area of 1213.15 square metres, and a non-residential gross floor area of 142.48 square metres.  A total of 15 residen",3001 DUNDAS ST W,4,1213,140,1353,14,http://app.toronto.ca/AIC/index.do?folderRsn=tbs6ofPlFidc2LEugl3aYQ%3D%3D
1175,Built,19 154472 ESC 21 OZ,2019-05-15,"Official Plan Amendment application to establish a site-specific parkland dedication rate for the subject lands, which are within Scarborough Centre.  The application is being reviewed concurrently with the related Rezoning application to permit a 15-sto",1560 BRIMLEY RD,21,18593,127,18720,250,http://app.toronto.ca/AIC/index.do?folderRsn=lE1o3MypVE8V%2FpoxuKajsA%3D%3D
1176,Under Review,21 196655 WET 02 OZ,2021-08-11,"The proposal seeks to redevelop the western portion of the site with a 22 storey tower with a 5-storey base. The total building height of would be 69.15 metres, excluding the mechanical penthouse.  The proposed new building would contain 232 new rental d",580 THE EAST MALL,2,17803,0,17803,232,http://app.toronto.ca/AIC/index.do?folderRsn=UWukpo8ysb2%2FQWhmKuEEcQ%3D%3D
1177,Active,21 110357 ESC 24 OZ,2021-01-29,"Zoning By Law Amendment application to lift the ""H"".  Development comprising of a 26-storey mixed-use building with commercial at grade and residential above.Concurrent Site Plan Control application 21 100349 ESC 24 SA.",3070 ELLESMERE RD,24,23946,400,24346,246,http://app.toronto.ca/AIC/index.do?folderRsn=iO7DVD%2BOkm7j43Q9vFInXQ%3D%3D
1178,Under Review,24 140234 STE 13 OZ,2024-04-24,"Official Plan and Zoning By-law Amendment to permit a 63-storey residential building including a total of 50,580.8 square metres of residential gross floor area which will result in a total of 730 total dwelling units.",5 HUNTLEY ST,13,48755,0,48755,710,http://app.toronto.ca/AIC/index.do?folderRsn=3cQU34I%2FYjc1bgBEK%2B%2Brmg%3D%3D
1179,Active,20 204893 WET 03 OZ,2020-10-09,"Proposed 4 storey apartment building fronting on Thirty First Street, featuring a total of 8 residential units and Gross Floor Area of 876.5 m2 (FSI of 1.6).",105 THIRTY FIRST ST,3,876,0,876,8,http://app.toronto.ca/AIC/index.do?folderRsn=3TRGtIyp1GzLqKyHjc%2BcxQ%3D%3D
1180,Active,20 204828 WET 03 OZ,2020-10-09,"Proposed 6 storey apartment building fronting on Lake Shore Blvd W featuring a total of 19 residential units with 1,377.8 m2 of residential space, 194m2 of commercial space, for a total Gross Floor Area of 1571.8 m2 and an FSI of 3.0.",3471 LAKE SHORE BLVD W,3,1377,194,1571,19,http://app.toronto.ca/AIC/index.do?folderRsn=mcjy1u8AcHxqItJL7V4PYQ%3D%3D
1181,Built,13 156471 STE 30 OZ,2013-04-24,Proposal to construct a 6-storey mixed use building with 292 square metres of non-residential uses at grade and 48 dwelling units above.  A total of 23 parking spaces are proposed in a parking stacker system.  Parking would be accessed via the public lan,1075 QUEEN ST E,14,4226,269,4495,48,
1182,Active,15 236783 STE 30 OZ,2015-10-13,East Donlands Official Plan Amendment -  The purpose of the OPA application is to initiate a policy review to begin comprehensive planning of the Unilever site and adjacent lands.The Planning Rationale includes a draft Official Plan Amendment which propo,21 DON VALLEY PKWY,14,302000,926000,1228000,4300,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3841399&isCofASearch=false
1183,Active,22 128942 STE 19 OZ,2022-03-31,"Zoning By-law & Official Plan Amendment application to facilitate the redevelopment of the site for a 6-storey (19.9 metres plus 3.5 metre mechanical penthouse) residential building having a gross floor area of 5,756 square metres, and containing 86 resi",73 WOODBINE AVE,19,5756,0,5756,86,http://app.toronto.ca/AIC/index.do?folderRsn=aMQDAfK%2FRh7xcPChRX9BCA%3D%3D
1184,Under Review,22 223328 NNY 06 OZ,2022-10-28,"The proposed redevelopment introduces a new 29 storey apartment building contains 259 apartment units. The proposal introduces 21,236.80 sq.m. of residential GFA, along with 823 m2 of indoor amenity space and 272m2 of outdoor amenity space. The site curr",25 CEDARCROFT BLVD,6,20958.9,0,20958.9,316,http://app.toronto.ca/AIC/index.do?folderRsn=lbhIMBgp0wYh%2BIMgIz%2FxRg%3D%3D
1185,Under Review,16 204453 WET 02 SA,2016-08-10,"To construct two institutional buildings to house an ambulance depot and a vehicle depot (approx. 14m/one-storey in height) totalling 1,941 square metres in size. The proposal would include 772 square metres of landscaped open space and 26 surface parkin",40 QUEENS PLATE DR,1,0,1941,1941,0,http://app.toronto.ca/AIC/index.do?folderRsn=ca9UVLOwj6KVsspWdCxDiw%3D%3D
1186,Built,15 135412 ESC 42 SA,2015-04-01,Proposal for a four storey office building,2225 MARKHAM RD,23,0,5141.48,5141.48,0,
1187,Active,17 188915 WET 05 OZ,2017-06-28,Offical Plan Amendment and Rezoning application to construct a 14 storey retirement and assisted living facility.,3429 BLOOR ST W,3,0,13725,13725,0,http://app.toronto.ca/AIC/index.do?folderRsn=nInx%2FeVqQAVQSx3a4BD9sA%3D%3D
1188,Active,20 120437 WET 03 SA,2020-02-28,"Two site plan applications have been submitted for the site formerly known as 15-19 Cordova Avenue. The south building, located now at 60 Central Park Roadway, would be 27-storeys and have a total gross floor area of 23, 696 m2. It will contain 355 resid",15 CORDOVA AVE,3,23696,0,23696,354,http://app.toronto.ca/AIC/index.do?folderRsn=IzRrSHLkZq6%2BRdnb1PuYFA%3D%3D
1189,Under Review,22 135811 WET 01 OZ,2022-04-19,"Official Plan and Zoning By-law Amendment applications to permit the redevelopment of the site. The applicant is proposing to demolish the 18 dwellings on Adriatic Road to facilitate three new residential apartment buildings having heights of 22 storeys,",1 ADRIATIC RD,1,64249.5,0,64249.5,947,http://app.toronto.ca/AIC/index.do?folderRsn=DRTOw7Dzseb9bvL4l4bSpA%3D%3D
1190,Active,20 120401 WET 03 SA,2020-02-28,"There are two site plan applications submitted for the lands formerly known as 15-19 Cordova Avenue. The North building, now 25 Cordova Avenue, would be 20-storeys high and have a total gross floor area of 20,261 and would contain 257 residential units a",15 CORDOVA AVE,3,20261,0,20261,257,http://app.toronto.ca/AIC/index.do?folderRsn=m6sARNxlqohFD6Wj%2FSY10A%3D%3D
1191,Active,13 195001 NNY 23 OZ,2013-06-26,The applicaiton proposes a 4-storey residential apartment with 22 units proposed as a retirement residence.,72 CHURCH AVE,18,1507.3,0,1507.3,14,http://app.toronto.ca/AIC/index.do?folderRsn=0GcxgRQj1j8IVmTHVzKq0A%3D%3D
1192,Active,21 240661 ESC 21 OZ,2021-11-23,"Zoning By-law Amendment application to permit a 12-storey mixed-use building with 187 dwelling units retail at-grade and three levels of below-grade parking containing 218 vehicular parking spaces. The proposed total gross floor area is 14,533 square met",36 ELLESMERE RD,21,14330.9,202,14532.9,187,http://app.toronto.ca/AIC/index.do?folderRsn=bX%2FMhKcTUjTyYceNVVm1Yw%3D%3D
1193,Active,19 251045 ESC 21 OZ,2019-11-19,"Official Plan Amendment application to add new policies to the Official Plan for the lands located at 860 Pharmacy Ave, 9-23 and 32-40 Craigton Dr, and 1 Rannock St  (Starlight lands), which is located within the Golden Mile Secondary Plan Study Area.  T",860 PHARMACY AVE,21,122559,1555,124114,1333,http://app.toronto.ca/AIC/index.do?folderRsn=6HBsfQd%2F%2BZhuPwMTEVB5Ig%3D%3D
1194,Under Review,19 130414 STE 11 SA,2019-03-25,Proposal to alter the existing 2 ½-storey mixed-use building by demolishing the first and second storey rear portion and constructing a new rear three-storey addition with retail at grade and four residential rental units above.,165 BRUNSWICK AVE,11,152.91,57.72,210.63,3,http://app.toronto.ca/AIC/index.do?folderRsn=dCJu6l1XmPBb5ifrX9nHJA%3D%3D
1195,Active,22 194681 WET 03 OZ,2022-08-23,"Official Plan and Zoning By-law Amendment application to permit a 39-storey residential building with 436 dwelling units, a total gross floor area of 25,017 square metres, resulting in a floor space index of 16.9 times the lot area.  25 parking spaces ar",5 JOPLING AVE S,3,24860,210,25070,437,http://app.toronto.ca/AIC/index.do?folderRsn=soBjfdfNOrFjTLq%2FzLbvaQ%3D%3D
1196,Active,21 113003 STE 14 OZ,2021-02-05,"Proposal for a 3-storey addition atop an existing 3-storey non-residential building, as well as a rear 4-storey addition to the building.  The proposed additions will accommodate 19 residential dwelling units, and be comprised of 1535 square metres of re",741 BROADVIEW AVE,14,1254.3,363.6,1617.9,19,http://app.toronto.ca/AIC/index.do?folderRsn=Fdl2d%2FHT%2FFccby4MuBSIzg%3D%3D
1197,Active,19 117787 NNY 17 OZ,2019-02-21,To construct two mid-rise residential apartment buildings and the retention of the existing centrally located 15-storey apartment building,20 GODSTONE RD,17,15050,0,15050,195,http://app.toronto.ca/AIC/index.do?folderRsn=fn0uvF8xDtiDaYFrGRFkew%3D%3D
1198,Under Review,18 148195 STE 28 OZ,2018-04-24,"Official Plan and Zoning By-law Amendment applications to permit three new buildings on the lands, comprising a 58-storey mixed-use condominium building with 4,060 square metres of non-residential uses in the lower floors and 741 dwelling units, a 21-sto",240 WELLESLEY ST E,13,73890,4370,78260,1109,http://app.toronto.ca/AIC/index.do?folderRsn=icRxtrCgnBgKN8UVV%2Brtcw%3D%3D
1199,Active,19 263788 NNY 15 OZ,2019-12-20,Application to amend the Zoning By-law to permit a 23-storey mixed use building containing 250 residential units and 277 square metres of retail gross floor area,717 MOUNT PLEASANT RD,15,21253.8,258.7,21512.5,325,http://app.toronto.ca/AIC/index.do?folderRsn=qN9K9tYy4HQG7yxkVnYvnw%3D%3D
1200,Built,13 139447 WET 12 SA,2013-03-24,Eglinton Crosstown LRT - Mount Dennis Station,3500 EGLINTON AVE W,5,0,6766,6766,0,http://app.toronto.ca/AIC/index.do?folderRsn=sJqCUJ5kyAHimhuvw%2FzJVA%3D%3D
1201,Under Review,21 226750 NNY 18 OZ,2021-10-16,"Official Plan and Zoning By-law Amendment Application to facilitate the development of the site for a mixed use development comprised of 13- and 14-storey apartment buildings, and two 4-storey back to back townhouse buildings.  The proposed residential g",150-160 CACTUS AVE,18,36850,0,36850,469,http://app.toronto.ca/AIC/index.do?folderRsn=qRXAamPMxBbXUq0ePvDoYA%3D%3D
1202,Active,18 136695 STE 28 OZ,2018-03-29,Official Plan and Zoning By-law Amendment application to permit the development of a residential/mixed-use building,161 PARLIAMENT ST,13,32081,3619,35700,467,http://app.toronto.ca/AIC/index.do?folderRsn=TiMpe9uf1QJwjsqfn2Gd6g%3D%3D
1203,Under Review,21 235446 STE 13 OZ,2021-11-08,"Zoning By-law Amendment application for a 60-storey mixed-use building with 1,757 square metres of non-residential gross floor area on the first five storeys and 256 dwelling units above. Portions of the south and west facades of the existing designated",49 YONGE ST,13,19890,51,19941,247,http://app.toronto.ca/AIC/index.do?folderRsn=nJzZUrLdaQxV5hxfU7e0Xw%3D%3D
1204,Active,14 169650 NNY 26 OZ,2014-06-06,"Proposed two mid-rise buildings (7-storey and 8 storey) consisting of 23,561 square metres of older adult living accomodations. The 8-storey building will be retirement rental accomodations and the 7-storey building will be a condominium for older adults",146 LAIRD DR,15,21466,0,21466,255,
1205,Under Review,23 167792 STE 10 OZ,2023-06-29,"Proposed Official Plan and Zoning By-law Amendments for Quayside Master Plan Blocks 3b, 4 and 5. The proposal for Blocks 3b, 4 and 5 includes two residential towers and one mid-rise building, collectively accommodating 8,988 square metres of non-resident",333 LAKE SHORE BLVD E,10,119405,9530,128935,1886,http://app.toronto.ca/AIC/index.do?folderRsn=i3UI3x2KerVbU%2F%2FriKHF3Q%3D%3D
1206,Built,13 123068 NNY 25 OZ,2013-02-21,Revised rezoning application to redevelop the lands with a new mixed use building10 storeys 31.75 m145 residential units of which 28 are rental replacement unitsretail at grade164 parking spaces in 3 levels of underground parking,2779 YONGE ST,15,12315,550,12865,88,http://app.toronto.ca/AIC/index.do?folderRsn=TuSEN1mGybamqHfG7Wg2%2FA%3D%3D
1207,Built,17 278869 NNY 15 OZ,2017-12-22,8-storey mixed use building with at-grade retail uses. 141 residential units; 86 parking spaces and 148 bicycle parking spaces. Access via a private laneway along north property line and connecting to Croham Road. Concurrent site plan application. By-law,2270 EGLINTON AVE W,8,9827.7,749.7,10577.4,141,http://app.toronto.ca/AIC/index.do?folderRsn=UD0w1S1dUxUo4GNSVN3vuw%3D%3D
1208,Active,05 106821 WET 01 OZ,2005-02-04,"5-storey senior residential apartment building,",136 WESTMORE DR,1,8166,0,8166,146,
1209,Under Review,21 121792 NNY 08 OZ,2021-03-01,"Zoning By Law Amendment application to permit a 9-storey mixed-use building on the front (east) portion of the subject site, fronting onto Dufferin Street (Block 1), with retail fronting Dufferin Street and grade-related townhouses facing Samor Road to t",3180 DUFFERIN ST,8,79994.8,1490,81484.8,1180,http://app.toronto.ca/AIC/index.do?folderRsn=8LByCxEUqU7Db2urnc8yYw%3D%3D
1210,Active,16 270614 ESC 38 OZ,2016-12-23,Proposal to redevelop the current retail plaza site with a 34-storey mixed use development consisting of a 6-storey podium and 331 residential units.,1021-1035 MARKHAM RD,24,24180.5,2179.6,26360.1,333,http://app.toronto.ca/AIC/index.do?folderRsn=BzLhNwwCUwu%2FL9aFKtinzg%3D%3D
1211,Built,17 257307 WET 05 OZ,2017-11-02,"To construct a 10-storey mixed-use building (including a mezzanine level) with commercial at grade. The development would have a gross floor area of 9912 m2, of which 230 m2 would be non-residential gross floor area. The P4 level of the proposal has been",1197 THE QUEENSWAY,3,9667,221,9888,142,http://app.toronto.ca/AIC/index.do?folderRsn=IqlI%2BNzUuFcFaZRESOoxlw%3D%3D
1212,Built,20 151725 WET 01 SA,2020-06-03,Finch West LRT Humber College terminal stop,203-205 HUMBER COLLEGE BLVD,1,0,2876,2876,0,http://app.toronto.ca/AIC/index.do?folderRsn=%2FMWqVNC0XIrU%2BBoS5xNQUw%3D%3D
1213,Active,16 155576 NNY 25 OZ,2016-05-13,The application proposes to demolish the two existing single family dwellings and construct six townhouse units facing Bayview Avenue and one single family detached dwelling facing Heathcote Avenue. An application for Site Plan Control has been submitted,2619 BAYVIEW AVE,15,3301.19,0,3301.19,11,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3950611&isCofASearch=false
1214,Active,23 238365 STE 13 OZ,2023-12-22,Zoning By-law Amendment to permit a 45-storey mixed-use building having a non-residential gross floor area of 733.25 square metres and a resdiential gross floor area of 41.700.29 square metres. 556 residential units are proposed.,517 RICHMOND ST E,13,41595,168,41763,660,http://app.toronto.ca/AIC/index.do?folderRsn=3AO%2FrszW4Y6UEXoaVaDfPg%3D%3D
1215,Active,17 187979 NNY 25 OZ,2017-06-27,"Lifting of (H) from HOS (1) (H), in association with a new wing addition (8,121 m2)  for brain science facility at Sunnybrook Hospital.  Applicant never completed conditions for Bills to Council.",2075 BAYVIEW AVE,15,0,11161,11161,0,http://app.toronto.ca/AIC/index.do?folderRsn=kZI4lgyF3CwfDdYuCTdMRw%3D%3D
1216,Active,22 154005 ESC 23 OZ,2022-05-30,Rezoning for proposed addition to existing industrial building.,5610 FINCH AVE E,23,0,14174,14174,0,http://app.toronto.ca/AIC/index.do?folderRsn=2a2bC1n5YGrFJUVvY%2F4XsQ%3D%3D
1217,Active,23 138754 STE 13 OZ,2023-04-27,Official Plan Amendment & Rezoning for a 69-storey residential building that will contain 872 residential dwelling units (including rental replacement units).,576 SHERBOURNE ST,13,53934,0,53934,872,http://app.toronto.ca/AIC/index.do?folderRsn=DkQq%2BtQA23WysT7ENrbXNg%3D%3D
1218,Active,22 204780 STE 13 OZ,2022-09-16,"Official Plan and zoning amendment application to construct a 46-storey tower with 616 dwelling units,  479 square metres non-residential gfa. and 141 square metres of privately-owned, publicly accessible open space.",214 SHERBOURNE ST,13,40846,59,40905,616,http://app.toronto.ca/AIC/index.do?folderRsn=cJnByf1krq0UYc1FDiQlZg%3D%3D
1219,Active,23 233851 ESC 20 OZ,2023-12-08,"Official Plan and Zoning By-law Amendement applications for a 9-storey, 29.12 metre (32.32 incl. mech), 8,429.4 square metre, mixed use building with 218.9 square metres of ground floor commercial space. The project proposes 113 residential units, 114 bi",565 KENNEDY RD   1,20,7055.8,219.9,7275.7,113,http://app.toronto.ca/AIC/index.do?folderRsn=ckAYKK1ivFcsqX3MB5%2F24g%3D%3D
1220,Active,21 146018 WET 03 OZ,2021-04-26,"The application seeks to permit a two-storey, six-unit residential addition to the existing triplex on the subject property, resulting in a total of nine units on site.",408 HORNER AVE,3,470,0,470,6,http://app.toronto.ca/AIC/index.do?folderRsn=LszgvhNqoNbQy%2Fnn%2Bo%2B7vg%3D%3D
1221,Active,22 205463 ESC 25 OZ,2022-09-19,"REVISED: Proposal for two residential buildings 18 and 28 storeys in height, with a 6-storey podium. A total of 518 dwellings are proposed. The proposed density is 8.2 FSI. ORIGINAL: Redevelopment of the subject site with two residential buildings of 15",255 MORNINGSIDE AVE,25,37174,668,37842,518,http://app.toronto.ca/AIC/index.do?folderRsn=UDy885LRXco1eQSVIcVxyA%3D%3D
1222,Active,22 125367 ESC 24 OZ,2022-03-22,Proposal for a development consisting of an 11-storey mixed-use building with retail uses at grade and residential uses above and a seven-storey residential building with both at-grade and below-grade parking and at-grade outdoor amenity. The proposed de,4212 KINGSTON RD,24,20494.89,245.73,20740.62,271,http://app.toronto.ca/AIC/index.do?folderRsn=tlexxYqg4O8sb2tq0oOdjQ%3D%3D
1223,Active,21 239174 STE 12 OZ,2021-11-18,"Zoning By-law Amendment application to facilitate the redevelopment of the site for a 15-storey mixed-use building having a non-residential gross floor area of 200.80 square metres, and a residential gross floor area of 10,225.60 square metres.  59 resid",1196 YONGE ST,12,10226.6,200.8,10427.4,67,http://app.toronto.ca/AIC/index.do?folderRsn=%2FRH5FM9Zn9Tbn0pot9kuyQ%3D%3D
1224,Active,21 122566 NNY 08 SA,2021-03-03,Site Plan application to permit  the proposal for the existing secondary school at 60 Playfair Avenue to be converted to the Regina Mundi Elementary School and Child Care and a new Dante Alighieri Academy secondary school will be built at 70 Playfair Ave,60 PLAYFAIR AVE,8,0,14393,14393,0,http://app.toronto.ca/AIC/index.do?folderRsn=yB0PcFdMBTbIeMxHyW%2B9KA%3D%3D
1225,Active,21 146121 STE 10 OZ,2021-04-26,"Revised Official Plan and Zoning By-law Amendment application to demolish the existing building situated at the southeast corner of the block at 310, 320 and 330 Front Street West and to redevelop this portion of the block with a 65-storey mixed-use buil",320 FRONT ST W,10,109555,743,110298,1782,http://app.toronto.ca/AIC/index.do?folderRsn=kOYr3AhaHRH6DeqleKpgWw%3D%3D
1226,Under Review,21 157799 STE 04 SA,2021-05-20,"Site Plan Approval for a 3-storey mixed-use building having a non-residential gross floor area of 198.34square metres, and a residential gross floor area of 341.46 square metres.  A total of 3 residential units are proposed on the lot.",12 WINDERMERE AVE,4,341,198,539,3,http://app.toronto.ca/AIC/index.do?folderRsn=f1CrhhsTAc7a7GnlGIUbMg%3D%3D
1227,Active,15 206976 STE 28 OZ,2015-08-14,"Redevelopment of the subject properties for a 51-storey rental building, with retail uses at grade. As part of these applications they are also proposing to reconfigure St. James Town West Park, and make significant improvements to it. The existing herit",545 SHERBOURNE ST,13,34600,400,35000,532,http://app.toronto.ca/AIC/index.do?folderRsn=7btxUjihKmowwqggA9F5gg%3D%3D
