_id,Pipeline Status,Application Number,Date Received,Description,Address,Ward,Proposed Residential Gross Floor Area,Proposed Non-Residential Gross Floor Area,Proposed Gross Floor Area,Proposed Residential Units,Application Information Centre Link
486,Under Review,08 145788 NNY 23 OZ,2008-04-10,Revised submission implements modifications to the applications that were endorsed in principle by City Council during the spring and summer of 2014 in settlement of an outstanding Ontario Municipal Board (now Ontario Land Tribunal) appeals. The revised,51 DREWRY AVE,18,41189.37,0,41189.37,551,http://app.toronto.ca/AIC/index.do?folderRsn=ekBdJviXRGDN3sN9GUw4nA%3D%3D
487,Built,10 321208 STE 22 OZ,2010-12-30,"Rezoning application for a 26 storey residential building containing 271 units comprised of 98 one-bedrooms, 161 two-bedroom and 12 three-bedroom with a total floor area of 24,753.55m2. There will be a total of 1,084m2 of amenity space 253 total parking",101 ST CLAIR AVE W,12,24710.7,0,24710.7,240,
488,Built,15 230582 NNY 24 OZ,2015-09-30,"Construct a three-storey, 24 unit stacked townhouse complex toalling 2462 m2 and 24 parking spaces within a below-grade garage.",12 DERVOCK CRES,17,2050.35,0,2050.35,24,http://app.toronto.ca/AIC/index.do?folderRsn=OOQlfEDmoi7HzrA%2F%2BqKSIg%3D%3D
489,Active,15 248841 STE 19 SA,2015-11-09,This is a Site Plan Application for the construction of a mixed-use four storey building consisting of a commercial use in the form of a personal service shop (lifestyle hair salon) on the first two floors and one residential unit above on the third and,852 ADELAIDE ST W,10,163.6,171.7,335.3,1,http://app.toronto.ca/AIC/index.do?folderRsn=IVr5OsMHjhQzOt%2FsbBq%2F7A%3D%3D
490,Built,09 143528 STE 27 SA,2009-05-29,"Revised Site Plan Submission - April 6, 2010. Site plan approval for proposal to construct a 17 sty hospital addtion to St. Michaels Hospital.",30 BOND ST,13,0,21044,21044,0,
491,Active,13 193884 ESC 23 SA,2013-06-25,"Proposed multi-building commercial development with office, industrial and recreational uses.",825 PASSMORE AVE,23,0,9134.52,9134.52,0,
492,Under Review,22 218549 WET 03 OZ,2022-10-18,"Official Plan and Zoning By-law Amendment application proposing an 8-storey mixed-use building with 59 dwelling units. The proposed gross floor area is 5,785 square metres, including 977 square metres of retail space at grade, resulting in a floor space",5140 DUNDAS ST W,3,5785,977,6762,59,http://app.toronto.ca/AIC/index.do?folderRsn=hExCWs%2BF7aiS5fpBlHe%2BxA%3D%3D
493,Active,18 271373 STE 13 OZ,2018-12-21,"Official Plan and Zoning By-law Amendment to permit a 44-storey mixed-use building consisting of a 13-storey base component for institutional and retail use, and a 31-storey tower component for student residences. The proposal includes 57,525 square metr",202 JARVIS ST,13,0,39211,39211,0,http://app.toronto.ca/AIC/index.do?folderRsn=Evi9s0%2F8c%2B1eV6dpEsaTIg%3D%3D
494,Built,18 253304 NNY 08 SA,2018-11-07,"5 storey academic classroom building (10,632sqm) at the northwest quadrant of The Pond Rd and James Gillies St.  (School of Continuing Studies - York University)",4700 KEELE ST,7,0,10632,10632,0,http://app.toronto.ca/AIC/index.do?folderRsn=omPTGOPYSi2lzEdHyx%2B1Sw%3D%3D
495,Active,20 124904 STE 04 OZ,2020-03-11,"Zoning By-law Amendment application to facilitate the development of the site for a 6-storey mixed-use building comprised of 190 m2 of non-residential and 2,550 m2 of residential gross floor area.  A total of 29 residential dwelling units are proposed on",1488 QUEEN ST W,4,2550,190,2740,29,http://app.toronto.ca/AIC/index.do?folderRsn=HhoPRfstI1quytRnRJldcw%3D%3D
496,Under Review,22 221795 STE 14 OZ,2022-10-25,"Rezoning for proposed 6-storey mixed-use building with 181 m2 of non-residential gross floor area at grade and 30 residential units above (2,526 m2 residential gfa).",1594 QUEEN ST E,14,2526,181,2707,30,http://app.toronto.ca/AIC/index.do?folderRsn=s3buI9ZimbzRqLNLI39jxA%3D%3D
497,Active,12 285360 STE 31 SA,2012-11-27,Proposal to demolish the existing automobile service garage and construct a mixed-use building on the subject lands. The proposal consists of a 5-storey building with 2 commercial units at grade and 14 residential units.,2156 DANFORTH AVE,19,1375,84.28,1459.28,13,http://app.toronto.ca/AIC/index.do?folderRsn=w%2FQN5V6tepz7kniS3P%2FFfw%3D%3D
498,Built,13 165361 STE 20 OZ,2013-05-09,"Application to permit the construction of a new 22-storey mixed use building. Retail and commercial uses are proposed in the first 2-storeys, with a total of 202 residential dwelling units above.  The proposal would have an overall building height of app",484 SPADINA AVE,11,11113.21,573.82,11687.03,166,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3350946&isCofASearch=false
499,Under Review,22 120103 STE 10 SA,2022-03-07,"The proposed development   Exhibition grounds. The development will also consist of 1 level of underground, accessed off of New Brunswick Way, which will service the loading area for the hotel and venue. Additional public parking (comprised of 358 parkin",2 STRACHAN AVE,10,0,40252,40252,0,http://app.toronto.ca/AIC/index.do?folderRsn=Fi9UjiPGrEidOlGT1JNUmQ%3D%3D
500,Under Review,20 159050 ESC 24 OZ,2020-06-23,"November 2022 Revised Submission - Official Plan Amendment (OPA), Rezoning and Site Plan applications to facilitate redevelopment of  the subject lands with a 11-storey mixed-use building with commercial uses on the ground floor and 145 residential units",3150 EGLINTON AVE E,24,10382.28,528.167,10910.447,145,http://app.toronto.ca/AIC/index.do?folderRsn=9Sar2gGTLRaR3mFucMPZww%3D%3D
